Name,Price,URL,CPU,Ram,Storage,Graphics,Display,Status
Dell Precision 7530,14800000,https://techcare.vn/san-pham/dell-precision-7530/,Core i7-8750H,8GB,SSD 256GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%
Lenovo ThinkPad P52,16800000,https://techcare.vn/san-pham/lenovo-thinkpad-p52/,Core i7-8750H,16GB,SSD 256GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%
HP Probook 450 G5,6800000,https://techcare.vn/san-pham/hp-probook-450-g5/,Core i5-7200U,8GB,HDD 500GB + SSD 120GB,Intel HD Graphics 620,15.6 inch HD,99%
Hp Elitebook 840 G5,7500000,https://techcare.vn/san-pham/hp-elitebook-840-g5-core-i5/,Core i5-7300U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Precision M5510,11500000,https://techcare.vn/san-pham/dell-precision-m5510/,Core i7-6820HQ,8GB,SSD 256GB,Nvidia Quadro M1000,15.6 inch Full HD,99%
Dell Latitude 7490,7200000,https://techcare.vn/san-pham/dell-latitude-7490/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
HP Zbook 15U G3,9900000,https://techcare.vn/san-pham/hp-zbook-15u-g3/,Core i7-6500U,8GB,SSD 256GB,AMD FirePro W4190M,15.6 inch Full HD,99%
Dell Latitude E5470,4200000,https://techcare.vn/san-pham/laptop-cu-dell-latitude-e5470-core-i5-6300u-card-intel-hd-graphics-520/,Core i3-6100U,8GB,SSD 128GB,Intel HD Graphics 520,14 inch HD,99%
Lenovo ThinkPad T440s,4900000,https://techcare.vn/san-pham/lenovo-thinkpad-t440s/,Core i5-4300U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
Dell Latitude E7240,4500000,https://techcare.vn/san-pham/laptop-cu-dell-latitude-e7240-i5-intel-hd-graphics-family/,Core i5-4300U,4GB,SSD 128GB,Intel HD Graphics 4400,12.5 inch HD,99%
Dell latitude E7440,4300000,https://techcare.vn/san-pham/dell-latitude-e7440-i3/,Core i3-4010U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
Dell G3 3579,11900000,https://techcare.vn/san-pham/dell-g3-3579/,Core i5-8300H,8GB,SSD 128GB + SSD 256GB,Nvidia Geforce GTX 1050Ti,15.6 inch Full HD,99%
Dell Inspiron 7559,7900000,https://techcare.vn/san-pham/laptop-gaming-dell-inspiron-7559-cu-core-i5-6300hq-nvidia-geforce-gtx-960m/,Core i5-6300HQ,4GB,SSD 120GB,Nvidia GTX 960M 4GB,15.6 inch Full HD,99%
Dell XPS 13 9360,11900000,https://techcare.vn/san-pham/dell-xps-13-9360-corei5/,Core i5-7200U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%
Lenovo Thinkpad T480s,8900000,https://techcare.vn/san-pham/lenovo-thinkpad-t480s-20l7s00t00/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude E7450,5900000,https://techcare.vn/san-pham/dell-latitude-e7450-corei5/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%
HP Probook 6560B,3900000,https://techcare.vn/san-pham/laptop-hp-probook-6560b/,Core i5-2520M,4GB,SSD 120GB,Intel HD Graphics 3000,15.6 inch HD,99%
Dell Latitude E5580,4900000,https://techcare.vn/san-pham/dell-latitude-e5580/,Core i3-7100U,8GB,SSD 256GB,Intel HD Graphics 620,15.6 inch HD,99%
Dell Latitude 7280,5500000,https://techcare.vn/san-pham/dell-latitude-7280-i5/,Core i5-6300U,4GB,SSD 120GB,Intel HD Graphics 620,12 inch HD,99%
Dell Inspiron 5577,8900000,https://techcare.vn/san-pham/dell-inspiron-5577-i5/,Core i5-7300HQ,8GB,SSD 120GB,NVIDIA GeForce GTX 1050,15.6 inch Full HD,99%
Dell Latitude E5440,4500000,https://techcare.vn/san-pham/dell-latitude-e5440-core-i5-4310u-intel-hp-graphics/,Core i5-4200U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%
Dell Latitude E7250,4700000,https://techcare.vn/san-pham/dell-latitude-e7250/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,12.5 inch HD,99%
Dell Latitude E5450,4300000,https://techcare.vn/san-pham/laptop-dell-latitude-e5450-cu/,Core i3-5010U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%
Dell Latitude 5400,8500000,https://techcare.vn/san-pham/dell-latitude-5400/,Core i5-8365U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch HD,99%
Lenovo ThinkPad T480,7700000,https://techcare.vn/san-pham/lenovo-thinkpad-t480/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,99%
Dell Latitude E7390,6900000,https://techcare.vn/san-pham/dell-latitude-e7390/,Core i5-8350U,8GB,SSD 256GB,Intel HD Graphics 620,13.3 inch Full HD,99%
Dell Latitude E5480,5900000,https://techcare.vn/san-pham/dell-latitude-e5480/,Core i5-6300U,8GB,SSD 128GB,Intel HD Graphics,14 inch HD,99%
Dell Latitude E6540,5900000,https://techcare.vn/san-pham/laptop-dell-latitude-e6540-core-i5-4300m-amd-radeon-hd-8790/,Core i5-4200M,4GB,SSD 120GB,Intel Graphics 4600,15.6 inch HD,99%
Dell Latitude 5300,7900000,https://techcare.vn/san-pham/dell-latitude-5300/,Core i5-8265U,8GB,SSD 128GB,Intel HD Graphics 620,13.3 inch Full HD,99%
Surface Laptop 2,10900000,https://techcare.vn/san-pham/surface-laptop-2/,Core i5-8250U,8GB,SSD 256GB,Intel HD Graphics 620,13.5 inch 2K cảm ứng,99%
Dell Vostro 5459,9200000,https://techcare.vn/san-pham/dell-vostro-5459/,Core i5-6200U,8GB,SSD 240GB,AMD ATI Radion R5M335,14 inch HD,99%
Surface Pro 4,10500000,https://techcare.vn/san-pham/microsoft-surface-pro-4/,Core i5-6200U,8GB,SSD 256GB,Intel HD Graphics 520,12.3 inch 2K+,99%
Surface Pro 6,18900000,https://techcare.vn/san-pham/surface-pro-6/,Core i7-8650U,16GB,SSD 1TB,Intel HD Graphics 520,12.3 inch 2K+,99%
HP Spectre x360,15500000,https://techcare.vn/san-pham/hp-spectre-x360/,Core i7-8550U,8GB,SSD 512GB,Nvidia Geforce MX150 2GB,15.6 inch 4K,99%
